text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Bombs the shit out of underserving countries... and mass shootings.,13108,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
"Saudi thuggery, funded by Merika and Trump, now exported to Sudan URL",28142,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""3"": 2, ""2"": 1}, ""insult"": {""1"": 2, ""3"": 1}, ""humiliate"": {""0"": 2, ""3"": 1}, ""status"": {""4"": 1}, ""dehumanize"": {""0"": 2, ""3"": 1}, ""violence"": {""0"": 2, ""1"": 1}, ""genocide"": {""0"": 3}, ""attack_defend"": {""2"": 2, ""4"": 1}, ""hatespeech"": {""0"": 5}}",4,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0
When Christ is rooted in your heart you start walking in love effortlessly. You may know so much about Christ and yet Christ is not rooted in your heart.,27958,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""1"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
I am glad @INCIndia chose Ghulam Nabi Azad to represent them in the house on #Article370. Now we know for sure that the Indian National Congress is neither Indian nor National!!,37954,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 2, ""3"": 3}, ""respect"": {""2"": 1, ""4"": 2, ""3"": 1}, ""insult"": {""3"": 3, ""4"": 1}, ""humiliate"": {""4"": 2, ""3"": 2}, ""status"": {""3"": 3, ""2"": 1}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 2, ""3"": 2}, ""hatespeech"": {""0"": 5}}",3,4.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
Don't piss off Jesus. You wouldn't like him when he's cross.,19725,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""1"": 5}, ""respect"": {""2"": 1, ""0"": 4}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 5}, ""hatespeech"": {""0"": 5}}",1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
suck my fucking dick stoopid,38486,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
"Oh God, Demotivational Poster style memes.  God I feel old, I used to spend hours looking those things up.",7473,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""1"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
if you directly degrade a girl for having sex then fuck you,31146,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""3"": 4, ""4"": 1}, ""respect"": {""1"": 2, ""2"": 1, ""0"": 2}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 5}, ""hatespeech"": {""0"": 5}}",3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
Giant vaginas with feet. Y'all look like the three kids that your step dad hates to have to call his own. You three fuck faces remind me of sex with Ron Jeremy. Nothing to boast about other than getting railed with a ten inch dong.,6842,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
@MistressJD so I guess you will stay single and never have sex with a man then?,20274,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""3"": 5}, ""respect"": {""3"": 4}, ""insult"": {""3"": 2, ""2"": 1, ""1"": 1}, ""humiliate"": {""2"": 4}, ""status"": {""3"": 2, ""2"": 2}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""3"": 3, ""2"": 1}, ""hatespeech"": {""0"": 5}}",3,3.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,0
Her cunt became the world.,2371,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 3, ""1"": 2}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""1"": 3, ""0"": 2}}",4,,,,,,,,,1
No one likes a loose pussy. Keep them locked up!,11911,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""3"": 3, ""2"": 1}, ""violence"": {""3"": 1, ""2"": 1, ""1"": 2}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""0"": 1, ""1"": 2, ""2"": 2}}",4,4.0,4.0,4.0,4.0,3.0,1.0,0.0,4.0,1
"Interestingly, while the romans were super racist, it wasn't our idea of racism today. It was an ""us or them"" mentality. If you opposed them, they would burn your cities and enslave you without a hint of sympathy. But if you surrendered immediately when they came for you, you were roman. It didn't matter your skin color, or where you were born, you were a Roman citizen.  Romans understood where you came from didn't matter. It was all about who you were now. (Note I do not support the romans there were barbaric in practice.)",9427,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""2"": 5}, ""respect"": {""2"": 4, ""0"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""0"": 3}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 5}, ""hatespeech"": {""0"": 5}}",2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Bottom bitches should get locked up in a cock cage!! You aren't gonna need it anyways!! Now let's get started!!,1630,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""3"": 1, ""4"": 3}, ""violence"": {""4"": 4}, ""genocide"": {""1"": 2, ""0"": 2}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""2"": 2, ""1"": 2, ""0"": 1}}",4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,1
Just amazing! 5000 Iranians partook in a huge gathering in Sweden today to support the uprisings in Iran and to support the Iranian Resistance (PMOI/MEK) led by @Maryam_Rajavi.  It's time for a #FreeIran!  #Iran #WeSupportMEK URL,31475,claude-haiku-4-5-20251001_modu,"{""sentiment"": {""1"": 5}, ""respect"": {""0"": 3, ""2"": 2}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 4, ""1"": 1}, ""hatespeech"": {""0"": 5}}",1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
