text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Her cunt became the world.,2371,gpt-5_mono,"{""sentiment"": {""2"": 5}, ""respect"": {""2"": 1, ""3"": 1, ""4"": 2}, ""insult"": {""2"": 1, ""3"": 2, ""4"": 1}, ""humiliate"": {""2"": 1, ""3"": 3}, ""status"": {""2"": 4}, ""dehumanize"": {""2"": 1, ""3"": 3}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 1, ""3"": 3}, ""hatespeech"": {""0"": 4, ""1"": 1}}",2,4.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,0
"I say, God is dead so I'll have my Satan pray for you, loser",995,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1}, ""insult"": {""2"": 1}, ""humiliate"": {""2"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""2"": 1}, ""hatespeech"": {""0"": 5}}",4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0
Bitch fuk u,25785,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1}, ""insult"": {""2"": 1}, ""humiliate"": {""2"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""2"": 1}, ""hatespeech"": {""2"": 5}}",4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2
What a dumb hoe,2692,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 1}, ""insult"": {""4"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""1"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,2
"Wow, what a fucking disgusting cunt.",8565,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 3}, ""insult"": {""4"": 3}, ""humiliate"": {""4"": 3}, ""status"": {""3"": 1, ""4"": 2}, ""dehumanize"": {""3"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""4"": 3}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
"@gabeten You may be proud to have a gold digging, racist, ex-porn actress representing you... But, I'm thoroughly embarrassed 😩",24451,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""3"": 1, ""4"": 3}, ""insult"": {""4"": 3, ""3"": 1}, ""humiliate"": {""3"": 4}, ""status"": {""3"": 3, ""2"": 1}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""3"": 2, ""4"": 2}, ""hatespeech"": {""2"": 1, ""0"": 4}}",4,4.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,0
@TheibbyV1 Nah fuck that hoe,29194,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 1}, ""insult"": {""4"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""1"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,2
wrixst hOeS mAd,48880,gpt-5_mono,"{""sentiment"": {""4"": 3, ""3"": 2}, ""respect"": {""4"": 2}, ""insult"": {""4"": 2}, ""humiliate"": {""3"": 2}, ""status"": {""3"": 2}, ""dehumanize"": {""1"": 2}, ""violence"": {""0"": 2}, ""genocide"": {""0"": 2}, ""attack_defend"": {""4"": 2}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,2
Less porn and more whore houses. That should sort out their incel gunmen.,17442,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""3"": 1}, ""insult"": {""3"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""3"": 1}, ""hatespeech"": {""0"": 2, ""2"": 3}}",4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2
@yummyleika bitch same especially one dumb bitch,32646,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 1}, ""insult"": {""4"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""3"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,3.0,3.0,3.0,0.0,0.0,4.0,2
