text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Don't piss off Jesus. You wouldn't like him when he's cross.,19725,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""1"": 5}, ""respect"": {""2"": 4}, ""insult"": {""2"": 3, ""0"": 1}, ""humiliate"": {""2"": 3, ""0"": 1}, ""status"": {""2"": 4}, ""dehumanize"": {""2"": 3, ""0"": 1}, ""violence"": {""2"": 2, ""0"": 1, ""1"": 1}, ""genocide"": {""2"": 2, ""0"": 2}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
"Interestingly, while the romans were super racist, it wasn't our idea of racism today. It was an ""us or them"" mentality. If you opposed them, they would burn your cities and enslave you without a hint of sympathy. But if you surrendered immediately when they came for you, you were roman. It didn't matter your skin color, or where you were born, you were a Roman citizen.  Romans understood where you came from didn't matter. It was all about who you were now. (Note I do not support the romans there were barbaric in practice.)",9427,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""2"": 4, ""1"": 1}, ""respect"": {""2"": 4}, ""insult"": {""0"": 4}, ""humiliate"": {""0"": 4}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 3, ""1"": 1}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
"I don't know, something about it being a race issue which I don't think it is.",10943,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""2"": 3, ""3"": 2}, ""respect"": {""2"": 2}, ""insult"": {""2"": 1, ""0"": 1}, ""humiliate"": {""2"": 1, ""0"": 1}, ""status"": {""2"": 2}, ""dehumanize"": {""2"": 1, ""0"": 1}, ""violence"": {""0"": 2}, ""genocide"": {""0"": 2}, ""attack_defend"": {""2"": 2}, ""hatespeech"": {""0"": 5}}",2,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0
You could use some better hip movement to rub your slut pussy on the cock,4562,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1, ""4"": 1}, ""insult"": {""2"": 1, ""4"": 1}, ""humiliate"": {""2"": 1, ""4"": 1}, ""status"": {""2"": 1, ""4"": 1}, ""dehumanize"": {""2"": 1, ""3"": 1}, ""violence"": {""0"": 1, ""1"": 1}, ""genocide"": {""0"": 2}, ""attack_defend"": {""2"": 1, ""4"": 1}, ""hatespeech"": {""0"": 4, ""1"": 1}}",4,3.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,0
What a dumb hoe,2692,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 3}, ""insult"": {""4"": 3}, ""humiliate"": {""3"": 3}, ""status"": {""4"": 3}, ""dehumanize"": {""1"": 1, ""3"": 1, ""2"": 1}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""4"": 3}, ""hatespeech"": {""1"": 3, ""0"": 2}}",4,4.0,4.0,3.0,4.0,2.0,0.0,0.0,4.0,1
@SvennieNicole @Slaynite @adeliaofficial_ @OmarKelly She's at fault for screwing 2 different guys and stirring up the instinctual biological response of jealousy. Wake up!,38512,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""3"": 1}, ""insult"": {""3"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""2"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""3"": 1}, ""hatespeech"": {""0"": 5}}",4,3.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,0
Some of us are just legit guys who were raised well and know how to treat ladies . No hidden agendas,28256,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""1"": 5}, ""respect"": {""2"": 2, ""1"": 1}, ""insult"": {""0"": 2, ""1"": 1}, ""humiliate"": {""0"": 3}, ""status"": {""2"": 3}, ""dehumanize"": {""0"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""2"": 2, ""1"": 1}, ""hatespeech"": {""0"": 5}}",1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
@HeenaShirodkar @shakira97981861 @MajorPoonia And Then your country does not play just Of Pakistan .The had showed their real face and Instead the beat sportmanship in that match Now They have reap what they sow before.,29144,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""3"": 2, ""4"": 3}, ""respect"": {""3"": 2}, ""insult"": {""3"": 2}, ""humiliate"": {""2"": 2}, ""status"": {""3"": 2}, ""dehumanize"": {""0"": 1, ""1"": 1}, ""violence"": {""0"": 2}, ""genocide"": {""0"": 2}, ""attack_defend"": {""4"": 1, ""3"": 1}, ""hatespeech"": {""0"": 5}}",4,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0
>These hoes aint loyal 1961 Colourised.,17766,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 1, ""1"": 2, ""3"": 2}, ""respect"": {""4"": 1}, ""insult"": {""4"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""3"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""0"": 4, ""1"": 1}}",2,4.0,4.0,3.0,3.0,3.0,0.0,0.0,4.0,0
She needs a real dick to stretch her out,15023,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1}, ""insult"": {""2"": 1}, ""humiliate"": {""2"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""2"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""2"": 1}, ""hatespeech"": {""0"": 5}}",4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0
