annotator_id,comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
3674,170,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0
2277,364,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,2.0
2998,364,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0
8597,364,4.0,4.0,4.0,4.0,0.0,4.0,3.0,3.0,3.0,2.0
9156,364,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2.0
853,401,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0
2040,423,4.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,3.0,2.0
6226,423,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0
8767,423,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0
1880,545,4.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,2.0
3677,545,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0
6707,545,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0
9723,545,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0
290,664,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
2550,664,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
5062,664,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0
9843,664,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
707,801,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
1959,801,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0
4339,995,4.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0
8134,995,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,0.0
6228,1054,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0
7524,1054,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0
9982,1054,3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0
11079,1054,4.0,3.0,4.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0
2711,1482,4.0,3.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0
2065,1630,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,3.0,0.0
6095,1630,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0
8979,1630,3.0,3.0,3.0,4.0,3.0,4.0,1.0,0.0,3.0,0.0
10753,1793,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5566,2221,4.0,3.0,3.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0
2307,2371,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0
4163,2371,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
5376,2371,2.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0
2975,2606,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
9928,2606,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
658,2692,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,0.0
8607,2692,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0
7423,3428,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
9487,3428,3.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0
10965,3428,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
5651,3534,4.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0
4879,3723,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
9508,3723,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
238,4013,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0
1943,4013,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7244,4013,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
3033,4287,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0
4340,4470,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
7075,4470,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
3012,4519,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0
4604,4519,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
7596,4519,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0
10263,4519,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0.0
31,4562,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0
3610,4562,3.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0
5712,4562,3.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0
3718,4811,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
5752,4811,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
5523,4944,3.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0
8744,4944,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
6177,5542,4.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
7642,5761,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
7975,5761,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
1637,6365,4.0,4.0,3.0,4.0,4.0,3.0,1.0,0.0,4.0,2.0
5754,6365,4.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0
2563,6454,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0
7545,6454,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0
8923,6454,4.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0
928,6610,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0
1100,6610,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
5249,6610,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0
817,6842,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0
5139,6842,4.0,4.0,4.0,3.0,4.0,3.0,1.0,0.0,3.0,0.0
1123,7000,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
6743,7000,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
10171,7000,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
10890,7000,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0
692,7237,2.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0
9528,7237,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0
5944,7304,4.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,3.0,2.0
2808,7391,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,2.0
6794,7391,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0
9072,7391,4.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0
2311,7473,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
6950,7601,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,2.0
1956,7894,4.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0
4736,7894,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0
9729,7894,4.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
10878,7894,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0
6471,8199,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,0.0
10327,8199,4.0,4.0,3.0,3.0,4.0,3.0,1.0,0.0,4.0,0.0
1957,8261,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6927,8261,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
4361,8278,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0
753,8323,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
9308,8323,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2.0
9902,8323,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0
2414,8565,4.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,4.0,2.0
2648,8565,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0
3997,8702,3.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,0.0
6052,8783,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0
8798,8783,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0
