text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Bombs the shit out of underserving countries... and mass shootings.,13108,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""1"": 1, ""0"": 4}}",4,,,,,,,,,0
suck my fucking dick stoopid,38486,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
"Oh God, Demotivational Poster style memes.  God I feel old, I used to spend hours looking those things up.",7473,deepseek-v4-flash_modu,"{""sentiment"": {""3"": 3, ""1"": 1, ""2"": 1}, ""respect"": {""2"": 4}, ""insult"": {""0"": 4}, ""humiliate"": {""0"": 4}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
Giant vaginas with feet. Y'all look like the three kids that your step dad hates to have to call his own. You three fuck faces remind me of sex with Ron Jeremy. Nothing to boast about other than getting railed with a ten inch dong.,6842,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 3}, ""insult"": {""4"": 3}, ""humiliate"": {""4"": 3}, ""status"": {""4"": 3}, ""dehumanize"": {""4"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""4"": 3}, ""hatespeech"": {""0"": 5}}",4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0
@MistressJD so I guess you will stay single and never have sex with a man then?,20274,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 1, ""3"": 4}, ""respect"": {""4"": 3}, ""insult"": {""4"": 3}, ""humiliate"": {""4"": 2, ""3"": 1}, ""status"": {""3"": 2, ""2"": 1}, ""dehumanize"": {""0"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""4"": 2, ""3"": 1}, ""hatespeech"": {""0"": 4, ""1"": 1}}",3,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0
"Interestingly, while the romans were super racist, it wasn't our idea of racism today. It was an ""us or them"" mentality. If you opposed them, they would burn your cities and enslave you without a hint of sympathy. But if you surrendered immediately when they came for you, you were roman. It didn't matter your skin color, or where you were born, you were a Roman citizen.  Romans understood where you came from didn't matter. It was all about who you were now. (Note I do not support the romans there were barbaric in practice.)",9427,deepseek-v4-flash_modu,"{""sentiment"": {""3"": 5}, ""respect"": {""2"": 3}, ""insult"": {""0"": 3}, ""humiliate"": {""0"": 3}, ""status"": {""2"": 3}, ""dehumanize"": {""0"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""2"": 3}, ""hatespeech"": {""0"": 5}}",3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
"I say, God is dead so I'll have my Satan pray for you, loser",995,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 2}, ""insult"": {""4"": 2}, ""humiliate"": {""4"": 2}, ""status"": {""4"": 2}, ""dehumanize"": {""1"": 1, ""0"": 1}, ""violence"": {""0"": 2}, ""genocide"": {""0"": 2}, ""attack_defend"": {""4"": 2}, ""hatespeech"": {""0"": 5}}",4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0
wish my lil bitch mouth was wrapped around kimishita's cock rn (tweeting cock 4 gage),20138,deepseek-v4-flash_modu,"{""sentiment"": {""1"": 3, ""3"": 2}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
You could use some better hip movement to rub your slut pussy on the cock,4562,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""0"": 2, ""4"": 1, ""1"": 1}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""2"": 4, ""0"": 1}}",4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
@SvennieNicole @Slaynite @adeliaofficial_ @OmarKelly She's at fault for screwing 2 different guys and stirring up the instinctual biological response of jealousy. Wake up!,38512,deepseek-v4-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
