text,comment_id,annotator_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech,vote_distributions,rater_method,rater_type
"Dwight Howard is a undercover Faggot, this guy was caught on camera fondling Isiah Canaan penis when you were playing for the Rockets. Dwight's career is over because he's softer than marmalade and he couldn't shoot a beach ball into a ocean.",43341,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 1, ""3"": 1, ""0"": 2, ""4"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
All India Mahila Congress has termed the Transgender Persons (Protection of Rights) Bill of the Union Social Justice Ministry 'regressive and devoid of compassion'. URL,27447,deepseek-v4-flash_modu_no_slur,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""3"": 1, ""4"": 4}, ""respect"": {""1"": 1, ""0"": 4}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Black Americans are standing up for President Trump because they know he believes in all Americans.,31223,deepseek-v4-flash_modu_no_slur,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""0"": 4, ""1"": 1}, ""respect"": {""1"": 4, ""2"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 4, ""0"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
@Vamsi Krishna so now a transgender can give birth ?,43580,deepseek-v4-flash_modu_no_slur,3,4.0,3.0,4.0,4.0,1.0,0.0,0.0,3.0,0,"{""sentiment"": {""3"": 4, ""2"": 1}, ""respect"": {""3"": 2, ""4"": 3}, ""insult"": {""3"": 4, ""4"": 1}, ""humiliate"": {""3"": 2, ""4"": 3}, ""status"": {""3"": 2, ""4"": 3}, ""dehumanize"": {""0"": 2, ""1"": 3}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 5}, ""hatespeech"": {""0"": 3, ""1"": 2}}",LLM_majority,LLM
This is what happens when you give blacks total control over a white level civilization.,48916,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"I'd start by licking your sack, really showing some love to those big balls, then lick up your shaft, getting it nice and sloppy. Then I'd suck on your cockhead, push my tongue under your foreskin, twirl my tongue around your head before taking that thick cock down my throat and letting you face fuck me.",1793,deepseek-v4-flash_modu_no_slur,0,,,,,,,,,0,"{""sentiment"": {""0"": 3, ""1"": 2}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
There are plenty of churches that won't condemn you for being with another man. My church married me and my (same-sex) husband. You should definitely check out /r/GayChristians and /r/OpenChristian for perspectives from others who have gone through the same thing as you and have asked these exact same questions before as well.,19409,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""0"": 5}, ""respect"": {""0"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 3, ""1"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"On this last Friday of Ramadan, and the 27th Night, please help us give underprivileged refugees and orphans in Kashmir the education that they deserve. Every amount help! Zakat & Sadaqah that will continue for many generations to come.  Donate here: URL URL",22123,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""0"": 4, ""1"": 1}, ""respect"": {""0"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 4, ""3"": 1}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 4, ""2"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
🧬🧬🧬 *IM SMARTER THAN SSSNIPERWOLF.I KNOW EVERYTHING ABOUT RACE AND COLOR SCIENCE. SSSNIPERWOLF WANTS SWEDES TO FREEZE AND BLACKS TO BURN. My videos are the only TRUTH ABOUT RACE WHITE AND BLACK. IM WHITE AND I KNOW EVERYTHING ABOUT BLACK PEOPLE* HI SNIPERWOLF I LIVE IN GLENDALE TOO,47074,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 3, ""0"": 1, ""1"": 1}, ""dehumanize"": {""0"": 2, ""1"": 3}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 3, ""1"": 2}, ""attack_defend"": {""4"": 4, ""3"": 1}, ""hatespeech"": {""2"": 3, ""1"": 2}}",LLM_majority,LLM
HAIL SATAN! May Christians be killed slowly and gruesomely!,4519,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""0"": 3, ""1"": 2}, ""violence"": {""4"": 5}, ""genocide"": {""4"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
