annotator_id,comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
claude_modu,43341,4,4.0,4.0,4.0,4.0,1.0,1.0,0.0,4.0,2
claude_modu,27447,3,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0
claude_modu,31223,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
claude_modu,43580,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
claude_modu,48916,4,4.0,4.0,4.0,4.0,2.0,1.0,0.0,4.0,2
claude_modu,1793,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0
claude_modu,19409,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
claude_modu,22123,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
claude_modu,47074,4,4.0,4.0,4.0,0.0,1.0,1.0,0.0,4.0,2
claude_modu,4519,4,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,2
claude_modu,45734,1,4.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,0
claude_modu,17591,3,3.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,0
claude_modu,42348,4,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,0
claude_modu,18591,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
claude_modu,13108,4,,,,,,,,,0
claude_modu,28142,4,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0
claude_modu,48308,1,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0
claude_modu,30112,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
claude_modu,27958,1,,,,,,,,,0
claude_modu,40444,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
claude_modu,28360,4,3.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,0
claude_modu,46966,1,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0
claude_modu,35364,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
claude_modu,37954,3,4.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
claude_modu,5761,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
claude_modu,19725,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
claude_modu,364,4,4.0,4.0,4.0,4.0,1.0,1.0,0.0,4.0,2
claude_modu,12086,3,4.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,2
claude_modu,6365,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
claude_modu,17868,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
claude_modu,48954,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,1
claude_modu,39293,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,1
claude_modu,49699,3,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0
claude_modu,30394,4,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2
claude_modu,18941,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
claude_modu,49707,3,3.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0
claude_modu,36618,3,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0
claude_modu,38486,4,,,,,,,,,0
claude_modu,38926,1,3.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0
claude_modu,7473,1,,,,,,,,,0
claude_modu,25763,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
claude_modu,40133,4,4.0,4.0,4.0,4.0,1.0,1.0,0.0,4.0,2
claude_modu,17461,4,4.0,4.0,4.0,4.0,1.0,1.0,0.0,4.0,2
claude_modu,20571,3,3.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,0
claude_modu,45219,4,3.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0
claude_modu,31146,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
