text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Bombs the shit out of underserving countries... and mass shootings.,13108,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
suck my fucking dick stoopid,38486,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
Her cunt became the world.,2371,gpt-5_mono,"{""sentiment"": {""2"": 5}, ""respect"": {""2"": 1, ""3"": 1, ""4"": 2}, ""insult"": {""2"": 1, ""3"": 2, ""4"": 1}, ""humiliate"": {""2"": 1, ""3"": 3}, ""status"": {""2"": 4}, ""dehumanize"": {""2"": 1, ""3"": 3}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 1, ""3"": 3}, ""hatespeech"": {""0"": 4, ""1"": 1}}",2,4.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,0
"I say, God is dead so I'll have my Satan pray for you, loser",995,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1}, ""insult"": {""2"": 1}, ""humiliate"": {""2"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""2"": 1}, ""hatespeech"": {""0"": 5}}",4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0
wish my lil bitch mouth was wrapped around kimishita's cock rn (tweeting cock 4 gage),20138,gpt-5_mono,"{""sentiment"": {""1"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
You could use some better hip movement to rub your slut pussy on the cock,4562,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""2"": 5}}",4,,,,,,,,,2
Bitch fuk u,25785,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1}, ""insult"": {""2"": 1}, ""humiliate"": {""2"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""2"": 1}, ""hatespeech"": {""2"": 5}}",4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2
What a dumb hoe,2692,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 1}, ""insult"": {""4"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""3"": 1}, ""dehumanize"": {""1"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,2
This is a problem easily solved with forced labor camps. They could actually work and benefit the US instead of stealing welfare and committing crimes and murders here. URL,22043,gpt-5_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""1"": 5}}",4,,,,,,,,,1
"And I thought I was going to hell for punching those orphans. They had it coming though. Thank god, now I know I'm going to heaven",11055,gpt-5_mono,"{""sentiment"": {""1"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
@BeauStead @roddreher Do you have any limiting principles on immigration?,31609,gpt-5_mono,"{""sentiment"": {""2"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",2,,,,,,,,,0
