annotator_id,comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
deepseek-v4-flash_mono_no_slur,43341,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,27447,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
deepseek-v4-flash_mono_no_slur,31223,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,43580,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,1
deepseek-v4-flash_mono_no_slur,48916,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,1793,0,,,,,,,,,0
deepseek-v4-flash_mono_no_slur,19409,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,22123,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,47074,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,1
deepseek-v4-flash_mono_no_slur,4519,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2
deepseek-v4-flash_mono_no_slur,45734,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,17591,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,42348,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,18591,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,13108,4,4.0,4.0,3.0,3.0,0.0,2.0,0.0,4.0,0
deepseek-v4-flash_mono_no_slur,28142,4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,1
deepseek-v4-flash_mono_no_slur,48308,1,3.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,30112,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,27958,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
deepseek-v4-flash_mono_no_slur,40444,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,28360,3,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,46966,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,35364,3,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,37954,4,4.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,0
deepseek-v4-flash_mono_no_slur,5761,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,19725,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,364,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,12086,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2
deepseek-v4-flash_mono_no_slur,6365,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,17868,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,48954,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,39293,3,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,49699,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,30394,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,18941,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,49707,3,3.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,36618,3,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0
deepseek-v4-flash_mono_no_slur,38486,4,,,,,,,,,0
deepseek-v4-flash_mono_no_slur,38926,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,7473,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
deepseek-v4-flash_mono_no_slur,25763,1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
deepseek-v4-flash_mono_no_slur,40133,4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,17461,4,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,20571,4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2
deepseek-v4-flash_mono_no_slur,45219,4,3.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,31146,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,6842,4,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,0
deepseek-v4-flash_mono_no_slur,20274,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,14389,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,9213,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,44044,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,2371,3,4.0,4.0,4.0,3.0,4.0,0.0,0.0,4.0,1
deepseek-v4-flash_mono_no_slur,6454,3,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,2
deepseek-v4-flash_mono_no_slur,47554,4,4.0,4.0,3.0,4.0,2.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,11911,4,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,21073,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,13743,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,7237,1,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,1
deepseek-v4-flash_mono_no_slur,38390,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,9427,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
deepseek-v4-flash_mono_no_slur,25391,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,1630,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,31050,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,34242,4,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,31475,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash_mono_no_slur,995,4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,31443,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,10943,3,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,9911,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,20138,1,,,,,,,,,0
deepseek-v4-flash_mono_no_slur,4562,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,10279,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
deepseek-v4-flash_mono_no_slur,25785,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
deepseek-v4-flash_mono_no_slur,46366,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
deepseek-v4-flash_mono_no_slur,16086,4,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0
deepseek-v4-flash_mono_no_slur,2692,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2
