text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
suck my fucking dick stoopid,38486,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
Bottom bitches should get locked up in a cock cage!! You aren't gonna need it anyways!! Now let's get started!!,1630,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 2}, ""insult"": {""4"": 2}, ""humiliate"": {""4"": 2}, ""status"": {""4"": 2}, ""dehumanize"": {""4"": 2}, ""violence"": {""4"": 2}, ""genocide"": {""0"": 2}, ""attack_defend"": {""4"": 2}, ""hatespeech"": {""0"": 4, ""2"": 1}}",4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0
wish my lil bitch mouth was wrapped around kimishita's cock rn (tweeting cock 4 gage),20138,gpt-5-mini_modu,"{""sentiment"": {""0"": 3, ""1"": 2}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",0,,,,,,,,,0
You could use some better hip movement to rub your slut pussy on the cock,4562,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
Bitch fuk u,25785,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
What a dumb hoe,2692,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""2"": 2, ""0"": 3}}",4,,,,,,,,,0
This is a problem easily solved with forced labor camps. They could actually work and benefit the US instead of stealing welfare and committing crimes and murders here. URL,22043,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""1"": 5}}",4,,,,,,,,,1
"And I thought I was going to hell for punching those orphans. They had it coming though. Thank god, now I know I'm going to heaven",11055,gpt-5-mini_modu,"{""sentiment"": {""4"": 3, ""0"": 1, ""1"": 1}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
Our people are brainwashed to believe in the devils children not our people,43493,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""4"": 4}, ""violence"": {""1"": 3, ""0"": 1}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""2"": 2, ""1"": 3}}",4,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,1
"Wow, what a fucking disgusting cunt.",8565,gpt-5-mini_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""2"": 4, ""0"": 1}}",4,,,,,,,,,2
