text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Bombs the shit out of underserving countries... and mass shootings.,13108,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
"Saudi thuggery, funded by Merika and Trump, now exported to Sudan URL",28142,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
When Christ is rooted in your heart you start walking in love effortlessly. You may know so much about Christ and yet Christ is not rooted in your heart.,27958,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""1"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
Don't piss off Jesus. You wouldn't like him when he's cross.,19725,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""1"": 5}, ""respect"": {""2"": 4}, ""insult"": {""2"": 3, ""0"": 1}, ""humiliate"": {""2"": 3, ""0"": 1}, ""status"": {""2"": 4}, ""dehumanize"": {""2"": 3, ""0"": 1}, ""violence"": {""2"": 2, ""0"": 1, ""1"": 1}, ""genocide"": {""2"": 2, ""0"": 2}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
suck my fucking dick stoopid,38486,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
"Oh God, Demotivational Poster style memes.  God I feel old, I used to spend hours looking those things up.",7473,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""1"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",1,,,,,,,,,0
Giant vaginas with feet. Y'all look like the three kids that your step dad hates to have to call his own. You three fuck faces remind me of sex with Ron Jeremy. Nothing to boast about other than getting railed with a ten inch dong.,6842,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
Her cunt became the world.,2371,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""1"": 1, ""0"": 4}}",4,,,,,,,,,0
"Interestingly, while the romans were super racist, it wasn't our idea of racism today. It was an ""us or them"" mentality. If you opposed them, they would burn your cities and enslave you without a hint of sympathy. But if you surrendered immediately when they came for you, you were roman. It didn't matter your skin color, or where you were born, you were a Roman citizen.  Romans understood where you came from didn't matter. It was all about who you were now. (Note I do not support the romans there were barbaric in practice.)",9427,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""2"": 4, ""1"": 1}, ""respect"": {""2"": 4}, ""insult"": {""0"": 4}, ""humiliate"": {""0"": 4}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 3, ""1"": 1}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
"I say, God is dead so I'll have my Satan pray for you, loser",995,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
"I don't know, something about it being a race issue which I don't think it is.",10943,claude-haiku-4-5-20251001_mono,"{""sentiment"": {""2"": 3, ""3"": 2}, ""respect"": {""2"": 2}, ""insult"": {""2"": 1, ""0"": 1}, ""humiliate"": {""2"": 1, ""0"": 1}, ""status"": {""2"": 2}, ""dehumanize"": {""2"": 1, ""0"": 1}, ""violence"": {""0"": 2}, ""genocide"": {""0"": 2}, ""attack_defend"": {""2"": 2}, ""hatespeech"": {""0"": 5}}",2,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0
