text,comment_id,annotator_id,vote_distributions,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
Bombs the shit out of underserving countries... and mass shootings.,13108,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 1}, ""insult"": {""4"": 1}, ""humiliate"": {""3"": 1}, ""status"": {""4"": 1}, ""dehumanize"": {""3"": 1}, ""violence"": {""4"": 1}, ""genocide"": {""3"": 1}, ""attack_defend"": {""4"": 1}, ""hatespeech"": {""0"": 5}}",4,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0
suck my fucking dick stoopid,38486,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""0"": 1}, ""insult"": {""0"": 1}, ""humiliate"": {""0"": 1}, ""status"": {""2"": 1}, ""dehumanize"": {""0"": 1}, ""violence"": {""0"": 1}, ""genocide"": {""0"": 1}, ""attack_defend"": {""2"": 1}, ""hatespeech"": {""0"": 5}}",4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
wish my lil bitch mouth was wrapped around kimishita's cock rn (tweeting cock 4 gage),20138,gemini-2.5-flash_modu,"{""sentiment"": {""0"": 1, ""4"": 3, ""3"": 1}, ""respect"": {""2"": 2, ""3"": 2}, ""insult"": {""0"": 2, ""3"": 2}, ""humiliate"": {""0"": 2, ""3"": 2}, ""status"": {""3"": 2, ""2"": 1}, ""dehumanize"": {""0"": 2, ""3"": 1, ""1"": 1}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 2, ""3"": 2}, ""hatespeech"": {""0"": 5}}",4,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0
Why are you such degenerate fucks?,401,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""2"": 5}}",4,,,,,,,,,2
"Did she kills or shoot the guy? Did your sister life was at risk? The fact she had a gun the other lady change the fact that she was able to stop what happened? Call 911 directly and taking a video of the guy would not do the same thing at the end? And if the rapsit had a gun? And shoot the other woman and then shoot your sister? What is the best scenario? Maybe more educated people, and a better society who men are educated to respect women and not just act like animals?",8199,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 4, ""3"": 1}, ""respect"": {""3"": 5}, ""insult"": {""4"": 2, ""3"": 3}, ""humiliate"": {""4"": 1, ""3"": 4}, ""status"": {""3"": 4}, ""dehumanize"": {""4"": 2, ""3"": 3}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 3, ""4"": 2}, ""hatespeech"": {""0"": 5}}",4,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0
wrixst hOeS mAd,48880,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""3"": 3, ""4"": 1}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,2
couldnt find no love went too da bank trending topic jimbozoe droppin all dese jewels like a natzi,29334,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 3}, ""insult"": {""4"": 3}, ""humiliate"": {""4"": 1, ""3"": 2}, ""status"": {""4"": 1, ""2"": 2}, ""dehumanize"": {""0"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""2"": 1, ""4"": 2}, ""hatespeech"": {""2"": 5}}",4,4.0,4.0,3.0,2.0,0.0,0.0,0.0,4.0,2
I wish people should have to be granted a license in order to procreate,4287,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 4, ""3"": 1}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",4,,,,,,,,,0
@MarioAndretti You're the greatest Sir! Have a wonderful weekend.,22235,gemini-2.5-flash_modu,"{""sentiment"": {""0"": 5}, ""respect"": {""0"": 2, ""2"": 2}, ""insult"": {""0"": 4}, ""humiliate"": {""0"": 4}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 3, ""0"": 1}, ""hatespeech"": {""0"": 5}}",0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
"The US is bombing 8 countries around the world, but it's the victim lmao",41251,gemini-2.5-flash_modu,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 3}, ""insult"": {""0"": 3}, ""humiliate"": {""0"": 3}, ""status"": {""2"": 3}, ""dehumanize"": {""0"": 3}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""2"": 3}, ""hatespeech"": {""0"": 5}}",4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
