text,slur_tagged_text,mono_sentiment,mono_respect,mono_insult,mono_humiliate,mono_status,mono_dehumanize,mono_violence,mono_genocide,mono_attack_defend,mono_hatespeech,mono_time,mod_sentiment,mod_respect,mod_insult,mod_humiliate,mod_status,mod_dehumanize,mod_violence,mod_genocide,mod_attack_defend,mod_hatespeech,mod_time
shes a rapist,shes a rapist,4,,,,,,,,,no,0.10546875,,,,,,,,,,no,0.002125263214111328
"There's a podcast you might find reassuring called *Latter Day Lesbian*. it's a middle aged woman telling the story of how she left the church when she realized she was gay, and the fallout and different reactions she experienced as well as her own inner turmoil through it. Hang in there, and hopefully your mother sees some sense","There's a podcast you might find reassuring called *Latter Day Lesbian*. it's a middle aged woman telling the story of how she left the church when she realized she was gay, and the fallout and different reactions she experienced as well as her own inner turmoil through it. Hang in there, and hopefully your mother sees some sense",1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,no,0.01809215545654297,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,no,0.021396875381469727
trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,4,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,yes,0.016672134399414062,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,0.02046799659729004
Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,"Who hurt you? Lol. It's comical how stupid and angry <slur demo_group='Blacks' explanation='Ross Perot, while at the 1992 NAACP convention in Nashville TN, frequently addressed his audience as ""you people.""  Revitalized again in April, 2007 when Don Imus said ""I can't get any place with you people"" on the Rev. Al Sharpton's radio show.'>you people</slur> are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.",4,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,yes,13.276271104812622,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes,19.666077852249146
"drake your such a gay, tatts of curry on your arm, what a faggot, your a groupie, just get ready on the locker room they will crack your ass open hahaha","drake your such a gay, tatts of <slur demo_group='Indians' explanation='Derivative of Curry Muncher etc.'>curry</slur> on your arm, what a faggot, your a groupie, just get ready on the locker room they will crack your ass open hahaha",4,4.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,yes,7.986278295516968,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,yes,16.795378923416138
"""Beta can't reproduce"" ""Top 4 quintiles attractive women will go for alphas, while betas stuck with ugly women"" I didn't know women's fertility to be based on their appearance.","""Beta can't reproduce"" ""Top 4 quintiles attractive women will go for alphas, while betas stuck with ugly women"" I didn't know women's fertility to be based on their appearance.",4,3.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,yes,0.019515275955200195,4.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,3.0,yes,0.018660783767700195
"If you think the hetros deserve a straight pride parade, think again bitch. URL","If you think the hetros deserve a straight pride parade, think again bitch. URL",4,3.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,yes,0.007663726806640625,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,4.0,yes,0.011695146560668945
"It took my nine days to consume her body. I did not fuck her, though I could have had I wished. She died a virgin.","It took my nine days to consume her body. I did not fuck her, though I could have had I wished. She died a virgin.",4,,,,,,,,,no,0.010802984237670898,,,,,,,,,,no,0.004729270935058594
"illegal immigrants =/= legal immigrants. in every other country in the world being ""anti-immigrant"" means you don't like either kind. but for some reason in america you get called even if you're only against the illegal kind.","illegal immigrants =/= legal immigrants. in every other country in the world being ""anti-immigrant"" means you don't like either kind. but for some reason in america you get called even if you're only against the illegal kind.",2,,,,,,,,,no,0.009738922119140625,,,,,,,,,,no,0.005948066711425781
"Commentors to this post are mostly misogynistic, chauvinistic, vile, rude pigs !!!","Commentors to this post are mostly misogynistic, chauvinistic, vile, rude <slur demo_group='Mediterraneans' explanation='Portuguese, Italian, Greek, Spanish.  Specifically refers to Mediterranean men and their piggish behavior toward women in particular'>pigs</slur> !!!",4,4.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,yes,10.755527019500732,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,yes,15.649479866027832
