annotator_id,comment_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech
gpt-5_mono,43341,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,27447,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,31223,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,43580,4,4.0,4.0,3.0,3.0,0.0,0.0,0.0,4.0,0
gpt-5_mono,48916,4,4.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,2
gpt-5_mono,1793,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,19409,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
gpt-5_mono,22123,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,47074,4,3.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,2
gpt-5_mono,4519,4,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,2
gpt-5_mono,45734,1,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,17591,4,3.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,2
gpt-5_mono,42348,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0
gpt-5_mono,18591,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,13108,4,,,,,,,,,0
gpt-5_mono,28142,4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,0
gpt-5_mono,48308,3,4.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0
gpt-5_mono,30112,3,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0
gpt-5_mono,27958,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,40444,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,28360,4,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,2
gpt-5_mono,46966,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,35364,4,4.0,4.0,3.0,3.0,3.0,0.0,0.0,4.0,2
gpt-5_mono,37954,4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,5761,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,19725,3,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,364,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,12086,3,4.0,4.0,3.0,3.0,1.0,0.0,0.0,3.0,2
gpt-5_mono,6365,4,4.0,4.0,4.0,3.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,17868,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,48954,4,4.0,4.0,3.0,3.0,0.0,0.0,0.0,4.0,2
gpt-5_mono,39293,4,4.0,4.0,3.0,4.0,1.0,0.0,0.0,4.0,0
gpt-5_mono,49699,3,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,30394,4,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,2
gpt-5_mono,18941,3,4.0,4.0,3.0,2.0,1.0,0.0,0.0,3.0,0
gpt-5_mono,49707,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,36618,4,3.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0
gpt-5_mono,38486,4,,,,,,,,,0
gpt-5_mono,38926,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,7473,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,25763,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,40133,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,17461,4,4.0,4.0,4.0,3.0,0.0,1.0,0.0,4.0,2
gpt-5_mono,20571,4,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,2
gpt-5_mono,45219,4,3.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,0
gpt-5_mono,31146,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
gpt-5_mono,6842,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gpt-5_mono,20274,3,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0
gpt-5_mono,14389,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,9213,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2
gpt-5_mono,44044,4,4.0,4.0,3.0,3.0,0.0,1.0,0.0,4.0,2
gpt-5_mono,2371,2,4.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,0
gpt-5_mono,6454,3,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,2
gpt-5_mono,47554,4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,2
gpt-5_mono,11911,4,4.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,2
gpt-5_mono,21073,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,13743,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,7237,1,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
gpt-5_mono,38390,4,3.0,3.0,2.0,3.0,0.0,1.0,0.0,3.0,0
gpt-5_mono,9427,3,3.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,0
gpt-5_mono,25391,4,4.0,4.0,3.0,3.0,2.0,0.0,0.0,4.0,2
gpt-5_mono,1630,4,4.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,2
gpt-5_mono,31050,4,4.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,2
gpt-5_mono,34242,3,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0
gpt-5_mono,31475,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,995,4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,31443,4,4.0,4.0,3.0,4.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,10943,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
gpt-5_mono,9911,4,4.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,2
gpt-5_mono,20138,1,,,,,,,,,0
gpt-5_mono,4562,4,,,,,,,,,2
gpt-5_mono,10279,4,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,1
gpt-5_mono,25785,4,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2
gpt-5_mono,46366,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0
gpt-5_mono,16086,4,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0
